"","x"
"327698",10237
"184197",4324
"199910",3118
"192305",2612
"1428399",2574
"148143",2395
"1213489",2376
"596983",2266
"469571",2239
"13057",2204
"246362",2152
"556476",2081
"705714",2075
"230994",1926
"294094",1918
"1074248",1908
"171325",1851
"442177",1842
"112212",1823
"1159981",1796
"1365081",1737
"157947",1669
"637179",1635
"559421",1578
"1459811",1573
"1427819",1565
"1317773",1511
"164113",1474
"28519",1469
"1192414",1444
"1007235",1444
"165972",1442
"127143",1430
"392661",1404
"1288239",1402
"579802",1399
"124623",1389
"637796",1378
"769439",1373
"1487182",1368
"130691",1299
"245574",1289
"533764",1280
"468852",1247
"524415",1232
"331367",1232
"453880",1229
"315660",1190
"1461803",1151
"690348",1150
"328104",1129
"150701",1122
"254785",1118
"666625",1112
"222278",1097
"246174",1097
"1212664",1072
"181951",1065
"486770",1060
"787863",1059
"1171796",1059
"616786",1053
"1457492",1040
"230813",1039
"211885",1030
"289895",1020
"1218304",1015
"1130797",1011
"259893",1009
"592409",1005
"664498",998
"690350",996
"541386",990
"711146",985
"462765",984
"583836",984
"1205609",978
"1486",977
"336158",972
"141053",972
"686378",971
"894611",969
"1566813",968
"1231117",967
"1490399",966
"431692",966
"381462",965
"236932",963
"268499",955
"237878",955
"460229",953
"1100002",948
"1182478",948
"466990",945
"1597532",941
"147664",937
"731347",937
"1459116",919
"24095",910
"743152",910
"769983",906
"562025",905
"884877",905
"50577",904
"545986",904
"798137",901
"157358",901
"324280",900
"1067673",899
"1121432",898
"1281594",898
"116384",897
"677298",896
"811135",895
"625116",892
"1615767",891
"649403",885
"98236",878
"206753",877
"701115",877
"785368",877
"1429042",875
"777",875
"359350",874
"1456780",874
"525278",871
"1301061",869
"922635",867
"471029",866
"349723",865
"312696",864
"510574",859
"1237679",859
"444229",854
"405573",848
"1488928",845
"1544782",841
"141314",836
"1178417",835
"1213",833
"1210245",832
"911447",830
"299794",829
"1286416",827
"452961",826
"599066",825
"826610",823
"177172",822
"673461",821
"337761",820
"1348591",817
"683496",816
"600922",816
"636643",815
"514155",814
"648836",813
"1187733",808
"853441",805
"709748",804
"343580",800
"815678",798
"339886",796
"376834",796
"491619",794
"712529",794
"1125895",794
"92190",792
"267786",792
"585048",791
"593808",788
"410960",786
"705388",786
"625228",785
"1027566",785
"1240406",781
"593255",780
"671187",773
"1233601",772
"404517",770
"922577",769
"877363",769
"1303124",765
"1156714",765
"1027903",764
"111590",762
"101403",758
"397703",757
"129103",756
"223348",755
"1191818",753
"707193",752
"1179313",750
"1105502",750
"984124",749
"625027",747
"548133",746
"1266993",744
"1081490",744
"1025628",743
"748383",741
"943476",740
"171170",739
"1015824",739
"1143995",738
"690323",738
"1138559",734
"1181794",733
"384930",731
"1096633",731
"63516",731
"200858",730
"611715",730
"111013",729
"1377005",729
"296338",728
"775762",728
"589312",725
"784915",725
"688709",725
"1479217",722
"146789",719
"576380",719
"1424167",719
"1301042",717
"945498",716
"964166",714
"704752",714
"152891",713
"868876",712
"690863",710
"1209514",708
"895849",708
"785849",705
"1186243",704
"69414",702
"407210",700
"1269030",700
"145751",700
"248771",699
"726148",698
"315461",697
"1106957",696
"365822",695
"445488",694
"320947",693
"243467",693
"1511103",693
"818149",693
"554312",692
"1056965",692
"571315",691
"797601",690
"1419340",690
"1243139",688
"1270699",688
"469236",687
"1164201",687
"124753",686
"880404",685
"1579741",684
"170234",683
"1201793",683
"633306",682
"198231",682
"1007600",682
"849329",680
"804189",680
"956394",677
"277573",674
"511250",674
"480851",674
"1289549",674
"532339",673
"73452",671
"624293",671
"824480",670
"923872",670
"684019",667
"366793",666
"651590",666
"619572",664
"1330763",662
"229191",660
"791617",660
"402690",659
"658551",658
"1202146",657
"72045",657
"1270417",657
"379571",656
"345545",655
"370122",655
"710426",654
"1129463",652
"558476",650
"104961",650
"728893",650
"1038437",649
"926905",648
"586323",647
"163227",647
"687054",646
"1204962",646
"716616",644
"175931",643
"630377",643
"629957",642
"1174447",642
"269709",641
"153292",640
"871444",640
"626474",640
"920439",640
"717458",640
"1472352",639
"631629",637
"32292",636
"1575468",634
"45443",633
"349098",632
"524716",630
"150676",630
"1178895",629
"928721",628
"1215525",628
"838873",626
"504451",625
"550341",625
"123177",624
"140167",623
"1463942",621
"462044",620
"498876",620
"701056",618
"474736",618
"718872",618
"676611",617
"368897",617
"121809",617
"607483",617
"145535",616
"585743",615
"311217",613
"354067",613
"1209757",613
"1029853",611
"1104747",611
"378919",610
"496652",610
"558149",609
"249875",608
"806289",608
"348654",605
"254664",601
"687109",601
"448495",601
"580920",601
"889672",598
"1129396",597
"1016298",597
"1534881",596
"234715",594
"716342",593
"426488",592
"363103",592
"945052",592
"340840",591
"593804",591
"966074",590
"161573",589
"1218554",589
"985802",587
"662465",587
"454776",587
"650542",586
"619550",586
"1596291",586
"875410",585
"575188",584
"1227858",584
"163778",584
"1129913",583
"656666",582
"1655704",581
"526302",578
"540373",578
"288775",578
"1211857",577
"165866",576
"1274222",575
"591136",573
"1160394",572
"1257582",571
"1055350",571
"1251433",570
"890845",569
"513543",569
"702163",568
"943216",567
"1424464",567
"357137",567
"1403172",566
"107505",566
"322342",565
"1243821",565
"1162563",564
"1346106",564
"157467",563
"356959",562
"547798",561
"941662",561
"231205",559
"737904",559
"1463852",559
"603759",558
"875068",557
"815670",556
"1422531",556
"584698",556
"659863",553
"588715",553
"608301",553
"527864",551
"191963",546
"1220491",545
"202611",545
"1155228",545
"1065109",544
"542926",544
"354585",544
"324827",544
"1387745",544
"327097",543
"598549",543
"656460",543
"510553",542
"1423914",542
"661074",541
"166595",541
"1364668",541
"475263",540
"615221",540
"203120",539
"97140",538
"361515",538
"105424",536
"299154",536
"1226345",536
"644240",536
"1260740",536
"184837",535
"552586",535
"1031427",535
"446762",534
"160112",533
"849881",533
"768502",532
"238541",532
"514360",532
"481087",531
"608841",531
"803893",531
"52681",530
"173077",530
"661225",530
"765734",529
"884868",528
"947602",528
"1261114",527
"537633",526
"933383",526
"663356",525
"182505",525
"1383638",525
"1361369",525
"201099",524
"800210",524
"90830",524
"247405",523
"668264",522
"361728",522
"397946",521
"1228468",521
"671321",521
"975601",521
"246947",520
"1201930",520
"1078823",519
"224114",518
"1220325",518
"963482",517
"251538",517
"651154",516
"413705",516
"1288152",516
"656654",516
"441141",514
"920781",514
"561649",514
"721835",514
"748857",513
"898634",513
"853959",513
"481809",513
"1247800",513
"88081",512
"624551",512
"1313952",512
"453202",511
"623267",511
"675159",511
"1434919",509
"1086422",509
"702173",509
"1111183",508
"704323",508
"1230319",508
"1030735",507
"839495",507
"1467281",507
"195387",506
"747239",506
"1100704",506
"457585",505
"333301",505
"608433",505
"646324",504
"1506612",504
"250221",503
"570245",503
"219542",503
"1059353",503
"1249680",503
"672298",503
"823628",501
"545716",501
"194235",500
"1273087",500
"598699",500
"329922",500
"425960",499
"731292",499
"284368",498
"125377",498
"422944",498
"640163",498
"469768",497
"1314227",497
"668126",496
"1232818",496
"668189",495
"888978",495
"157297",495
"552764",495
"1287984",494
"1124864",493
"1128255",493
"921977",493
"1497051",492
"266502",491
"109547",491
"188449",491
"150537",490
"1164738",489
"546988",489
"290662",488
"652757",488
"1100469",488
"300273",487
"1230803",486
"356566",485
"272224",485
"391646",485
"219006",484
"638750",484
"161002",484
"1461869",484
"1273823",484
"1097072",483
"980028",483
"1402331",483
"1098091",482
"160338",482
"190587",481
"268129",481
"560003",481
"196472",481
"855312",480
"808618",480
"250385",479
"1308147",479
"687855",479
"1072156",479
"275698",478
"1454560",478
"1038801",478
"146400",477
"266240",477
"1002994",477
"994258",476
"1226339",476
"1400593",475
"630572",474
"505256",474
"363548",474
"1003825",474
"1008044",474
"1232095",474
"483820",473
"272309",473
"373108",473
"1394741",473
"490037",472
"741431",472
"657717",471
"416104",468
"1229685",468
"916787",467
"758018",467
"300383",467
"647818",467
"710830",466
"514632",466
"290613",466
"1193231",466
"312926",464
"1515190",464
"169161",464
"629194",463
"159297",463
"529552",462
"467997",461
"607407",461
"958022",461
"1417435",461
"1337180",461
"613846",461
"843910",461
"272636",460
"207644",460
"1237271",460
"294723",459
"266906",459
"409122",458
"678085",458
"544599",457
"199674",457
"1034545",457
"345814",456
"1313753",456
"458417",454
"1350611",454
"175841",454
"300820",453
"1462189",453
"564304",452
"821816",452
"684963",451
"261556",451
"101370",451
"101660",450
"224896",450
"410295",450
"472132",450
"736830",450
"1375450",450
"1231874",450
"162693",449
"1337485",449
"879778",449
"938728",449
"664584",448
"294191",448
"761438",447
"184301",447
"46526",446
"685061",446
"1305443",446
"122540",445
"537767",445
"648692",445
"263208",444
"330863",444
"627535",444
"463039",444
"1494088",444
"703022",444
"1444926",444
"857303",444
"686373",443
"530247",443
"1079018",443
"752593",443
"601141",442
"623756",442
"140567",441
"1261517",441
"426769",439
"702589",439
"760411",439
"1131669",439
"197428",438
"589323",438
"1450041",438
"248151",437
"922572",437
"168835",436
"140437",435
"1295191",435
"1193774",435
"641291",434
"280317",434
"272627",434
"540024",434
"465929",433
"154587",433
"641200",433
"1161033",433
"328400",433
"677747",433
"650309",432
"1213850",432
"537263",431
"829762",430
"1071488",430
"911298",429
"1361560",429
"569196",428
"496590",428
"288456",428
"1575814",427
"988137",427
"655768",427
"535880",427
"1120016",426
"700016",426
"1011847",426
"173038",426
"563273",426
"1062683",425
"1267232",425
"924084",425
"1012853",424
"1012998",424
"579936",423
"565728",423
"703598",423
"666511",423
"582573",423
"1563185",423
"381887",422
"621016",422
"242159",422
"550220",422
"607575",422
"1260027",421
"1488802",420
"1273585",420
"360958",419
"1052015",419
"625072",418
"1193240",418
"91219",418
"483102",418
"643048",417
"75498",417
"1061",417
"412836",417
"172846",417
"414963",416
"1152006",416
"483521",416
"309565",416
"673212",415
"271828",414
"470399",414
"677325",414
"1567547",414
"883245",414
"124188",413
"295537",412
"320330",412
"952022",412
"144076",412
"415209",412
"1256569",412
"146062",411
"707956",411
"1492092",411
"357967",410
"972676",410
"754533",410
"1185260",410
"203973",409
"556480",409
"796784",409
"556348",408
"257309",408
"441684",408
"637047",408
"1196637",408
"565750",407
